site number,site location,Cluster,site acronym,date,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments
R19,Val Vista WTP treated water,srp,val vista-treated,2000,NA,2.42,2.273,0.0386,0.016981962,42.27,447.37,42.02,39.17,23.07,1.821413091,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2000,NA,2.532,2.565,0.0437,0.017037037,39.57,441.07,38.53,35.76,20.96,1.838263359,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,2000,field duplicate,2.526,2.817,0.0446,0.015832446,39.9,444.34,38.69,36.67,20.85,1.855635492,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,2000,NA,1.923,1.698,0.0238,0.01401649,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2000,NA,3.147,3.109,0.0497,0.015985848,44.65,446.37,43.21,40.77,24.05,1.796673597,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2000,NA,3.197,3.202,0.0437,0.01364772,35.14,438.65,32.9,32.12,18.49,1.779340184,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2000,NA,3.057,3.299,0.05,0.015156108,44.06,442.09,42.42,40.09,24.33,1.74352651,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2000,NA,3.237,3.078,0.046,0.014944769,39.18,449.45,39.06,36.46,21.21,1.841584158,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2000,NA,3.419,3.07,0.0466,0.015179153,42.8,443.69,42.69,39.28,23.22,1.838501292,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,2000,NA,4.017,4.1,0.0536,0.013073171,40.2,445.59,37.85,35.78,21.52,1.758828996,NA
R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,2000,field duplicate,3.487,3.386,0.0502,0.014825753,43.08,445.92,41.28,40.26,23.79,1.73518285,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2000,NA,3.486,3.373,0.051,0.015120071,43.36,447.05,42.72,40.34,22.81,1.872862779,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2000,NA,3.341,3.289,0.0427,0.01298267,35.18,442.64,34.65,32.47,18.27,1.896551724,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2000,NA,3.546,3.592,0.0403,0.011219376,26.19,441.61,24.36,22.33,13.32,1.828828829,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2000,NA,3.617,3.613,0.0408,0.011292555,25.52,446.37,24.26,21.19,12.98,1.869029276,NA
R3,Waddell Canal,cap,waddell canal,2000,NA,3.191,3.219,0.0417,0.012954334,37.46,447.85,36.69,33.85,19.59,1.872894334,NA
