"site number","site location","Cluster","site acronym","date","sample type","nutrient comments","total_nitrogen","total_dissolved_nitrogen","total_phosphorus","total_dissolved_phosphorus","nitrate_nitrogen","ammonium_nitrogen","dissolved_organic_nitrogen"
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2003-11-17",NA,NA,NA,0.715,21.8,NA,0.555,0.0488,0.111
"Green Out","Greenway WTP Outlet","srp","Green Out","2003-11-17",NA,NA,NA,0.419,NA,NA,0.303,0.0141,0.103
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2003-11-17",NA,NA,NA,0.489,7.7,NA,0.288,0.0658,0.136
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2003-11-17",NA,NA,NA,0.443,NA,NA,0.2,0.0504,0.193
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2003-11-17",NA,NA,NA,NA,6.1,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2003-11-17",NA,NA,NA,0.224,11.9,NA,0,0.031,0.193
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2003-11-17",NA,NA,NA,0.383,9.9,NA,0.158,0.0333,0.192
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2003-11-17",NA,NA,NA,0.205,23.2,NA,0.018,0.039,0.148
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2003-11-17",NA,NA,NA,0.301,10.6,NA,0.094,0.0353,0.172
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2003-11-17",NA,NA,NA,0.377,NA,NA,0.133,0.0333,0.212
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2003-11-17",NA,NA,NA,0.315,NA,NA,0.15,0.0274,0.138
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2003-11-17",NA,NA,NA,0.932,14.6,NA,0.77,0.0383,0.124
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2003-11-17",NA,NA,NA,1.076,NA,NA,0.979,0.0087,0.088
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2003-11-17",NA,NA,NA,0.191,22.1,NA,0,0.0177,0.173
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2003-11-17",NA,NA,0.386,0.369,18.8,NA,0.077,0.0757,0.217
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2003-11-17",NA,NA,0.494,0.503,14.7,NA,0.076,0.0718,0.356
"R3","Waddell Canal","cap","waddell canal","2003-11-17",NA,NA,NA,0.365,7.7,NA,0.191,0.0637,0.111
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2003-11-17",NA,NA,0.33,0.321,22.7,NA,0.089,0.0157,0.217
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2003-11-17",NA,NA,0.327,0.335,32.5,NA,0.07,0.0334,0.231
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2003-11-17",NA,NA,0.355,0.352,7.9,NA,0,0.0725,0.28
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2003-11-17",NA,NA,0.319,0.339,6,NA,0,0.0666,0.272
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2003-11-17",NA,NA,0.401,0.399,9.8,NA,0,0.0715,0.327
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2003-11-17",NA,NA,NA,0.355,4.8,NA,0.182,0.0198,0.153
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2003-11-17",NA,NA,NA,0.308,NA,NA,0.16,0.0015,0.147
"Green In","Greenway WTP Inlet","srp","Green In","2003-12-01",NA,NA,NA,2.846,NA,NA,2.499,0.0111,0.336
"Green Out","Greenway WTP Outlet","srp","Green Out","2003-12-01",NA,NA,NA,3.201,NA,NA,2.96,0.0058,0.235
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2003-12-01",NA,NA,NA,0.402,NA,NA,0.161,0.0282,0.213
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2003-12-01",NA,NA,NA,0.494,NA,NA,0.264,0.0474,0.182
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2003-12-01",NA,NA,NA,0.192,NA,NA,0,0.0378,0.154
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2003-12-01",NA,NA,NA,0.373,NA,NA,0.153,0.0335,0.186
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2003-12-01",NA,NA,NA,0.187,NA,NA,0,0.0228,0.165
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2003-12-01",NA,NA,NA,0.224,NA,NA,0.013,0.0398,0.171
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2003-12-01",NA,NA,NA,0.257,NA,NA,0.079,0.0322,0.147
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2003-12-01",NA,NA,NA,0.48,NA,NA,0.234,0.1276,0.119
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2003-12-01",NA,NA,NA,0.581,NA,NA,0.402,0.0206,0.159
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2003-12-01",NA,NA,NA,0.575,NA,NA,0.453,0.0226,0.1
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2003-12-01",NA,NA,0.077,0.072,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2003-12-01",NA,NA,NA,0.178,NA,NA,0,0.028,0.15
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2003-12-01",NA,NA,0.455,0.443,12.8,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2003-12-01",NA,NA,0.523,0.523,10.8,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2003-12-01",NA,NA,NA,0.382,NA,NA,0.191,0.0078,0.183
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2003-12-01",NA,NA,0.48,0.374,28.3,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2003-12-01",NA,NA,0.424,0.468,25.8,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2003-12-01",NA,NA,0.354,0.321,1.8,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2003-12-01",NA,NA,0.355,0.345,6.3,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2003-12-01",NA,NA,0.528,0.419,2.3,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2003-12-01",NA,NA,NA,0.387,NA,NA,0.179,7e-04,0.207
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2003-12-01",NA,NA,NA,0.335,NA,NA,0.182,0.0462,0.107
"Green In","Greenway WTP Inlet","srp","Green In","2003-12-15",NA,NA,NA,2.589,12.3,NA,2.501,0.0198,0.068
"Green Out","Greenway WTP Outlet","srp","Green Out","2003-12-15",NA,NA,NA,3.032,NA,NA,2.987,0.0099,0.035
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2003-12-15",NA,NA,NA,0.37,NA,NA,0.206,0.0341,0.13
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2003-12-15",NA,NA,NA,0.353,NA,NA,0.223,0.0276,0.103
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2003-12-15",NA,NA,NA,0.378,18.3,NA,0.204,0.0233,0.151
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2003-12-15",NA,NA,NA,0.323,NA,NA,0.21,0.0163,0.098
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2003-12-15",NA,NA,NA,NA,8.9,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2003-12-15",NA,NA,NA,0.187,10,NA,0,0.0411,0.146
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2003-12-15",NA,NA,NA,0.34,7.4,NA,0.194,0.0031,0.143
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2003-12-15",NA,NA,NA,0.151,20.5,NA,0.001,0.0109,0.139
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2003-12-15",NA,NA,NA,0.259,10.6,NA,0.1,0.0189,0.141
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2003-12-15",NA,NA,NA,0.248,NA,NA,0.113,0.0129,0.123
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2003-12-15",NA,NA,NA,0.246,NA,NA,0.136,0.0112,0.099
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2003-12-15",NA,NA,NA,0.373,11.8,NA,0.218,0.0143,0.142
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2003-12-15",NA,NA,NA,0.364,NA,NA,0.234,0.0052,0.126
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2003-12-15",NA,NA,0.065,0.087,NA,NA,0.01,0.0075,0.069
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2003-12-15",NA,NA,NA,0.175,20.6,NA,0.015,0.006,0.155
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2003-12-15",NA,NA,NA,0.34,6.6,NA,0.207,0,0.133
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2003-12-15",NA,NA,NA,0.312,NA,NA,0.2,0.0011,0.111
"Green In","Greenway WTP Inlet","srp","Green In","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2004-01-20",NA,NA,NA,0.361,NA,NA,0.229,0.0182,0.115
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2004-01-20",NA,NA,NA,0.396,NA,NA,0.238,0.0187,0.139
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2004-01-20",NA,NA,NA,1.074,7.3,NA,1.029,0.0186,0.026
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2004-01-20",NA,NA,NA,NA,8.8,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2004-01-20",NA,NA,NA,0.199,4.7,NA,0.045,0.007,0.148
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2004-01-20",NA,NA,NA,0.366,0,NA,0.225,0.0102,0.131
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2004-01-20",NA,NA,NA,0.233,17,NA,0.046,0.0538,0.133
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2004-01-20",NA,NA,NA,0.336,11.4,NA,0.262,0.0448,0.03
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2004-01-20",NA,NA,NA,0.509,NA,NA,0.342,0.038,0.129
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2004-01-20",NA,NA,NA,0.456,NA,NA,0.338,0.0343,0.084
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2004-01-20",NA,NA,NA,1.297,2.7,NA,1.221,0.0361,0.04
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2004-01-20",NA,NA,NA,1.15,NA,NA,1.105,0.0039,0.042
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2004-01-20",NA,NA,NA,0.259,28.7,NA,0.098,0.0226,0.138
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2004-01-20",NA,NA,0.371,0.282,4.4,NA,0.056,0.0166,0.21
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2004-01-20",NA,NA,0.332,0.272,9,NA,0.062,0.0183,0.192
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2004-01-20",NA,NA,0.425,0.411,6,NA,0.052,0.0724,0.286
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2004-01-20",NA,NA,NA,2.401,6.8,NA,2.397,0.017,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2004-01-20",NA,NA,NA,2.163,NA,NA,2.175,0,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2004-01-20",NA,NA,NA,0.381,0,NA,0.284,0.0111,0.086
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2004-01-20",NA,NA,NA,0.317,NA,NA,0.231,0,0.086
"R20","Verde River at Tangle","verde","verde abv horseshoe","2004-01-28",NA,NA,0.05,0.035,10.6,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2004-02-17",NA,NA,NA,0.656,17.1,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2004-02-17",NA,NA,NA,NA,21.4,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2004-02-17",NA,NA,NA,0.181,12.6,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2004-02-17",NA,NA,NA,0.364,11.6,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2004-02-17",NA,NA,NA,0.17,28.2,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2004-02-17",NA,NA,NA,0.248,18.8,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2004-02-17",NA,NA,NA,0.322,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2004-02-17",NA,NA,NA,0.295,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2004-02-17",NA,NA,NA,0.675,24.7,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2004-02-17",NA,NA,NA,0.705,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2004-02-17",NA,NA,NA,0.271,13.1,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2004-02-17",NA,NA,NA,0.192,38.6,NA,NA,NA,NA
