"Site Number","Site location","Cluster","Site Acronym","Arsenic (ug/L)","Perchlorate (ug/L)","date"
"Havasu 2","Lake havasu",NA,"Havasu 2",NA,NA,"2006-12-05"
"HTC","Tempe Canal","tempe","head of tempe canal",NA,NA,"2006-12-05"
"Hwy 87","Granite Reef Recreational Area","srp","az canal @ hwy 87",10.7,NA,"2006-12-05"
"NP In","tempe canal","tempe","North plant inlet",11,NA,"2006-12-05"
"NP Out","Tempe Canal","tempe","north plant outlet",5,NA,"2006-12-05"
"Pima","Arizona Canal","srp","az canal @ pima",11.1,NA,"2006-12-05"
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",3.6,NA,"2006-12-05"
"R11","Central Arizona Project Aqueduct","cap","cap @ x con",0,NA,"2006-12-05"
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",NA,NA,"2006-12-05"
"R13","Steele Indian School Park","srp","az canal blw cap",9.6,NA,"2006-12-05"
"R14","24th Street Water Treatment Plant","srp","az canal @ squaw peak",11.7,NA,"2006-12-05"
"R15","24th Street Water Treatment Plant","srp","squaw peak-treated",0,NA,"2006-12-05"
"R16","Deer Valley Water treatment plant","srp","az canal @ deer valley",12.5,NA,"2006-12-05"
"R17","Deer Valley water treatment plant","srp","deer valley-treated",0,NA,"2006-12-05"
"R18","Val Vista Water Treatment Plant","srp","s canal @ val vista",NA,NA,"2006-12-05"
"R19","Val Vista Water Treatment Plant","srp","val vista-treated",NA,NA,"2006-12-05"
"R20","Tangle Creek","verde","verde abv horseshoe",17.4,NA,"2006-12-05"
"R21","Steele Indian School Park","srp","az canal @ central ave.",12.7,NA,"2006-12-05"
"R22","Arizona Falls","srp","az canal @ 56th st.",10.9,NA,"2006-12-05"
"R25","verde river at beeline highway","verde","verde @ beeline",13,NA,"2006-12-05"
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.3,NA,"2006-12-05"
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.1,NA,"2006-12-05"
"R3","Waddell Canal","cap","waddell canal",0,NA,"2006-12-05"
"R6A","Bartlett Reservoir ","verde","bartlett-epi",14.6,NA,"2006-12-05"
"R6B","Bartlett Reservoir ","verde","bartlett-hypo",14.3,NA,"2006-12-05"
"R9A","Saguaro Lake","salt","saguaro-epi",4.2,NA,"2006-12-05"
"R9A-Dup","Saguaro Lake",NA,"saguaro-epi dup",4.1,NA,"2006-12-05"
"R9B","Saguaro Lake","salt","saguaro-hypo",4.4,NA,"2006-12-05"
"SOCA","park of the canals","srp","South canal below CAP",12.3,NA,"2006-12-05"
"SPT In","South Tempe Water Plant","tempe","STP In",NA,NA,"2006-12-05"
"SPT Out","South Tempe Water Plant","tempe","STP Out",NA,NA,"2006-12-05"
